Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Bomb Damage Assessment,Source ID,id,start_week
131102,1942-10-14,MTO,USA,9 AF,1ST PROV GRP,B17,NA,NA,LYDDA,PALESTINE,32.009444,34.882778,NA,LIBYA,TOBRUK,NA,NA,NA,32.04,23.95,240,6,3,3,NA,NA,NA,NA,12,1000 LB GP (GP-M44/M65),NA,6,NA,NA,NA,0,0,NA,NA,0,NA,6,NA,576,1476,1942-10-12
131104,1942-08-29,CBI,USA,10 AF,CATF (11 BS),B25,NA,1,KUNMING,CHINA,24.992222,102.743333,NA,BURMA,LASHIO,AIRPORT AND STORAGE AREA,NA,NA,22.90164,95.678936,NA,12,12,12,NA,NA,NA,NA,24,250 LB GP (GP-M57),13200,6.6,36,110 LB  INCENDIARY,3960,NA,NA,NA,NA,0,17160,8.58,EXCELLENT,31,1477,1942-08-24
131105,1942-10-15,CBI,USA,10 AF,CATF (11 BS),B25,NA,1,KUNMING,CHINA,24.992222,102.743333,NA,BURMA,LASHIO,AIRPORT AND STORAGE AREA,NA,NA,22.90164,95.678936,NA,12,12,12,NA,NA,NA,NA,24,100 LB GP (GP-M30),5280,2.64,NA,NA,NA,0,NA,NA,NA,0,5280,2.64,NA,31,1478,1942-10-12
131127,1942-10-15,CBI,USA,10 AF,NA,B25,NA,1,DINJAN,INDIA,27.537778,95.269444,NA,BURMA,LASHIO,AIRDROME,NA,NA,22.90164,95.678936,NA,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1479,1942-10-12
131129,1942-10-16,MTO,USA,9 AF,1ST PROV GRP,B24,NA,NA,LYDDA,PALESTINE,32.009444,34.882778,NA,LIBYA,BENGHAZI,NA,NA,NA,32.11,20.05,230,9,7,7,NA,NA,1,NA,35,1000 LB GP (GP-M44/M65),NA,17.5,NA,NA,NA,0,NA,NA,NA,0,NA,17.5,NA,577,1480,1942-10-12
131133,1942-10-16,MTO,GREAT BRITAIN,RAF,160 SQDN,LIB,NA,NA,AQIR,EGYPT,31.833333,34.8166667,NA,EGYPT,MERSA MATRUH,NA,NA,2,31.33,27.2,140,8,5,5,NA,NA,NA,NA,0,1000 LB GP (GP-M44/M65),NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,10,NA,698822,1481,1942-10-12
131135,1942-10-16,MTO,USA,9 AF,98 BG,B24,NA,NA,RAMAT DAVID,PALESTINE,32.666603,35.183325,NA,LIBYA,BENGHAZI,NA,NA,NA,32.11,20.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,35,1482,1942-10-12
131136,1942-10-16,MTO,USA,9 AF,1ST PROV GRP,B17,NA,NA,LYDDA,PALESTINE,32.009444,34.882778,NA,LIBYA,TOBRUK,NA,NA,NA,32.04,23.95,0,6,0,0,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,588,1483,1942-10-12
131160,1942-10-19,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,LG 21 / LG 104,NA,NA,NA,31.07,28.3,85,12,11,11,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,10.875,NA,NA,NA,0,NA,NA,NA,0,NA,10.875,NA,NA,1484,1942-10-19
131161,1942-10-19,MTO,USA,9 AF,98 BG,B24,NA,NA,RAMAT DAVID,PALESTINE,32.666603,35.183325,NA,LIBYA,BENGHAZI,NA,NA,NA,32.11,20.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,15,NA,37,1485,1942-10-19
