,Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,TargetCountry,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,id,start_week
645,54077,NA,MTO,GREAT BRITAIN,RAF,NA,NA,NA,NA,ADEN,YEMEN,12.7817,45.0267,NA,ERITREA,ASSAB,PORT,NA,NA,13.0167,42.7333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,645,NA
646,54186,NA,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,28843,ITALY,MONTEROTONDO,NA,NA,NA,42.05,12.6,NA,36,NA,36,3,NA,NA,NA,72,500 LB GP (GP-M43/M64),NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,646,NA
647,54195,NA,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,25298,ITALY,LITTORIA,NA,NA,NA,41.47,12.9,NA,8,NA,NA,NA,NA,NA,NA,16,500 LB GP (GP-M43/M64),NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,647,NA
648,54476,NA,MTO,SOUTH AFRICA,SAAF,11 SQDN,BATT,NA,NA,NAIROBI,KENYA,-1.2833,36.8167,NA,ETHIOPIA,SHASHAMANA (ABYSSINIA),AERODROME,NA,NA,7.2,38.6,10,6,6,6,NA,NA,NA,1,24,250 LB GP (GP-M57),12000,NA,24,NA,NA,NA,NA,NA,NA,NA,12000,6,NA,NA,NA,648,NA
649,54823,NA,MTO,GREAT BRITAIN,RAF,47/223 SQDN,WELL,NA,NA,PORT SUDAN,SUDAN,19.616667,37.216667,NA,ERITREA,MASSAWA,ABDEL KADEN PENINSULA (NAVAL AND AIR FORCE QUARTERS),NA,NA,15.6,39.45,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,649,NA
650,54824,NA,MTO,GREAT BRITAIN,RAF,223 SQDN,WELL,NA,NA,SUMMIT,SUDAN,18.75,36.8167,NA,ERITREA,ASMARA,AERODROME,NA,NA,15.3333,38.9333,30,2,2,2,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,NA,NA,25 LB INCENDIARY,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,650,NA
651,54912,NA,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,28563,ITALY,MONTALTO DI CASTRO,NA,NA,NA,42.35,11.62,NA,NA,NA,NA,NA,NA,NA,NA,9,500 LB GP (GP-M43/M64),NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,NA,NA,NA,651,NA
652,55333,NA,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,7553,ITALY,CAPRANICA,NA,NA,NA,42.27,12.18,NA,40,NA,40,3,2,NA,NA,80,500 LB GP (GP-M43/M64),NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,652,NA
653,55342,NA,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,28843,ITALY,MONTEROTONDO,NA,NA,NA,42.05,12.6,NA,12,NA,NA,NA,NA,NA,NA,24,500 LB GP (GP-M43/M64),NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,653,NA
654,55625,1940-09-15,MTO,GREAT BRITAIN,RAF,NA,NA,NA,NA,ADEN,YEMEN,12.7817,45.0267,NA,ERITREA,ASSAB,PORT,NA,NA,13.0167,42.7333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,654,1940-09-09
